id,cogency_crowd,cogency_mean_crowd,effectiveness_crowd,effectiveness_mean_crowd,reasonableness_crowd,reasonableness_mean_crowd,overall_crowd,overall_mean_crowd,argumentative_crowd,argumentative_majority_crowd,cogency_experts,cogency_mean_experts,effectiveness_experts,effectiveness_mean_experts,reasonableness_experts,reasonableness_mean_experts,overall_experts,overall_mean_experts,argumentative_experts,argumentative_majority_experts,cogency,cogency_mean,effectiveness,effectiveness_mean,reasonableness,reasonableness_mean,overall,overall_mean,argumentative,argumentative_majority
RCItGdzb8cfGHI5j0fIWHw,"(4, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 3, 4, 2, 3, '#', 4, 4)",3.3333333333333335,"(4, 'n/a', 'n/a', 'n/a', 1, 3, 'n/a', 2, 4, 3, 3, '#', 3, 3)",2.888888888888889,"(3, 'n/a', 'n/a', 'n/a', 1, 4, 'n/a', 2, 4, 2, 3, '#', 3, 2)",2.6666666666666665,"(4, 'n/a', 'n/a', 'n/a', 1, 4, 'n/a', 2, 4, 2, 3, '#', 3, 3)",2.888888888888889,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)",1,"(3,)",3.0,"(2,)",2.0,"(2,)",2.0,"(2,)",2.0,"(1,)",1,"(4, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 3, 4, 2, 3, '#', 4, 4)(3,)",3.166666666666667,"(4, 'n/a', 'n/a', 'n/a', 1, 3, 'n/a', 2, 4, 3, 3, '#', 3, 3)(2,)",2.4444444444444446,"(3, 'n/a', 'n/a', 'n/a', 1, 4, 'n/a', 2, 4, 2, 3, '#', 3, 2)(2,)",2.333333333333333,"(4, 'n/a', 'n/a', 'n/a', 1, 4, 'n/a', 2, 4, 2, 3, '#', 3, 3)(2,)",2.4444444444444446,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)(1,)",1
o83xPJ5NDIgniRXIJ13ttA,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 3, 4, 'n/a', 3, 2, 'n/a', 5)",3.7,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 3, 'n/a', 5)",3.5,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 1, 'n/a', 5)",3.3,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 2, 'n/a', 5)",3.4,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)",1,"(3,)",3.0,"(3,)",3.0,"(2,)",2.0,"(2,)",2.0,"(1,)",1,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 3, 4, 'n/a', 3, 2, 'n/a', 5)(3,)",3.35,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 3, 'n/a', 5)(3,)",3.25,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 1, 'n/a', 5)(2,)",2.65,"(4, 'n/a', 'n/a', 3, 4, 4, 5, 2, 4, 'n/a', 1, 2, 'n/a', 5)(2,)",2.7,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)(1,)",1
nfesCO0sW4oP1qJanIsbeA,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 3, 'n/a', 3)",3.2,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 5, 'n/a', 3)",3.4,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 2, 4, 2, 3, 3, 'n/a', 2)",3.1,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 3, 'n/a', 3)",3.2,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)",1,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(5, 'n/a')",5.0,"(4, 'n/a')",4.0,"(1, 'n/a')",1,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 3, 'n/a', 3)(4, 'n/a')",3.6,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 5, 'n/a', 3)(4, 'n/a')",3.7,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 2, 4, 2, 3, 3, 'n/a', 2)(5, 'n/a')",4.05,"(3, 'n/a', 'n/a', 3, 3, 4, 'n/a', 3, 4, 3, 3, 3, 'n/a', 3)(4, 'n/a')",3.6,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)(1, 'n/a')",1
0hRjpnwakKsjk3Lu7ClgEA,"(4, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 3, 4, 4, 4, 4, 4, 4)",3.9,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 4, 4, 4, 4, 5, 4, 5)",4.1,"(3, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 4, 4, 4, 4, 4, 4, 3)",3.8,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 4, 4, 4, 4, 4, 4, 4)",3.9,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)",1,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(1, 'n/a')",1,"(4, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 3, 4, 4, 4, 4, 4, 4)(4, 'n/a')",3.95,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 4, 4, 4, 4, 5, 4, 5)(4, 'n/a')",4.05,"(3, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 4, 4, 4, 4, 4, 4, 3)(4, 'n/a')",3.9,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 4, 4, 4, 4, 4, 4, 4)(4, 'n/a')",3.95,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)(1, 'n/a')",1
B771-GiNx_CmEhOEX1Fdkw,"(4, 'n/a', 'n/a', 3, 4, 4, 4, 4, 4, 'n/a', 3, 4, 'n/a', 4)",3.8,"(4, 'n/a', 'n/a', 3, 3, 4, 4, 5, 3, 'n/a', 3, 5, 'n/a', 4)",3.8,"(3, 'n/a', 'n/a', 3, 4, 4, 4, 4, 4, 'n/a', 3, 4, 'n/a', 3)",3.6,"(4, 'n/a', 'n/a', 3, 4, 4, 4, 4, 3, 'n/a', 3, 4, 'n/a', 4)",3.7,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)",1,"('n/a', 4)",4.0,"('n/a', 5)",5.0,"('n/a', 5)",5.0,"('n/a', 5)",5.0,"('n/a', 1)",1,"(4, 'n/a', 'n/a', 3, 4, 4, 4, 4, 4, 'n/a', 3, 4, 'n/a', 4)('n/a', 4)",3.9,"(4, 'n/a', 'n/a', 3, 3, 4, 4, 5, 3, 'n/a', 3, 5, 'n/a', 4)('n/a', 5)",4.4,"(3, 'n/a', 'n/a', 3, 4, 4, 4, 4, 4, 'n/a', 3, 4, 'n/a', 3)('n/a', 5)",4.3,"(4, 'n/a', 'n/a', 3, 4, 4, 4, 4, 3, 'n/a', 3, 4, 'n/a', 4)('n/a', 5)",4.35,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)('n/a', 1)",1
yGPYn79VxlRc36hZ7_BR0Q,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 3, 4, 3, 3, 2, 'n/a', 4)",2.9,"(2, 'n/a', 'n/a', 1, 3, 4, 'n/a', 2, 4, 2, 2, 3, 'n/a', 4)",2.7,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 2, 4, 2, 3, 1, 'n/a', 3)",2.5,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 2, 4, 2, 3, 2, 'n/a', 4)",2.7,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)",1,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(1, 'n/a')",1,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 3, 4, 3, 3, 2, 'n/a', 4)(4, 'n/a')",3.45,"(2, 'n/a', 'n/a', 1, 3, 4, 'n/a', 2, 4, 2, 2, 3, 'n/a', 4)(4, 'n/a')",3.35,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 2, 4, 2, 3, 1, 'n/a', 3)(4, 'n/a')",3.25,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 2, 4, 2, 3, 2, 'n/a', 4)(4, 'n/a')",3.35,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)(1, 'n/a')",1
D6Y96dWoxdl6h7tv9xw5iA,"(3, 'n/a', 'n/a', 1, 3, 4, 'n/a', 4, 4, 3, 4, 2, 'n/a', 5)",3.3,"(2, 'n/a', 'n/a', 1, 2, 4, 'n/a', 4, 4, 2, 3, 4, 'n/a', 4)",3.0,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 5, 4, 3, 3, 2, 'n/a', 5)",3.2,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 4, 4, 3, 3, 3, 'n/a', 5)",3.2,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)",1,"(4,)",4.0,"(4,)",4.0,"(4,)",4.0,"(4,)",4.0,"(1,)",1,"(3, 'n/a', 'n/a', 1, 3, 4, 'n/a', 4, 4, 3, 4, 2, 'n/a', 5)(4,)",3.65,"(2, 'n/a', 'n/a', 1, 2, 4, 'n/a', 4, 4, 2, 3, 4, 'n/a', 4)(4,)",3.5,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 5, 4, 3, 3, 2, 'n/a', 5)(4,)",3.6,"(3, 'n/a', 'n/a', 1, 2, 4, 'n/a', 4, 4, 3, 3, 3, 'n/a', 5)(4,)",3.6,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)(1,)",1
LcjMKbx5JIU8qvGtqIVg2Q,"(2, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 3, 4, 4, 4, 3, 4, 3)",3.5,"(1, 'n/a', 'n/a', 'n/a', 2, 3, 'n/a', 3, 4, 4, 2, 3, 2, 3)",2.7,"(2, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 2, 4, 4, 3, 2, 4, 3)",3.1,"(2, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 3, 4, 4, 3, 3, 3, 3)",3.1,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)",1,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(1, 'n/a')",1,"(2, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 3, 4, 4, 4, 3, 4, 3)(4, 'n/a')",3.75,"(1, 'n/a', 'n/a', 'n/a', 2, 3, 'n/a', 3, 4, 4, 2, 3, 2, 3)(4, 'n/a')",3.35,"(2, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 2, 4, 4, 3, 2, 4, 3)(4, 'n/a')",3.55,"(2, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 3, 4, 4, 3, 3, 3, 3)(4, 'n/a')",3.55,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)(1, 'n/a')",1
stKwMwkiTXcWBiWgLGdYgw,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 3, 'n/a', 5)",3.7,"(4, 'n/a', 3, 2, 2, 4, 5, 'n/a', 4, 'n/a', 4, 4, 'n/a', 5)",3.7,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 2, 'n/a', 4)",3.5,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 3, 'n/a', 5)",3.7,"(1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1, 'n/a', 1, 1, 'n/a', 1)",1,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(3, 'n/a')",3.0,"(3, 'n/a')",3.0,"(1, 'n/a')",1,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 3, 'n/a', 5)(4, 'n/a')",3.85,"(4, 'n/a', 3, 2, 2, 4, 5, 'n/a', 4, 'n/a', 4, 4, 'n/a', 5)(4, 'n/a')",3.85,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 2, 'n/a', 4)(3, 'n/a')",3.25,"(4, 'n/a', 3, 2, 4, 4, 4, 'n/a', 4, 'n/a', 4, 3, 'n/a', 5)(3, 'n/a')",3.35,"(1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1, 'n/a', 1, 1, 'n/a', 1)(1, 'n/a')",1
yENNne8UbF4vRppbVeFWgA,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 4, 4, 2, 3, 4)",3.6,"(3, 'n/a', 'n/a', 3, 4, 3, 'n/a', 'n/a', 4, 4, 4, 3, 4, 3)",3.5,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 3, 4, 2, 4, 3)",3.5,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 4, 4, 2, 4, 3)",3.6,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)",1,"(2,)",2.0,"(3,)",3.0,"(3,)",3.0,"(3,)",3.0,"(1,)",1,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 4, 4, 2, 3, 4)(2,)",2.8,"(3, 'n/a', 'n/a', 3, 4, 3, 'n/a', 'n/a', 4, 4, 4, 3, 4, 3)(3,)",3.25,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 3, 4, 2, 4, 3)(3,)",3.25,"(4, 'n/a', 'n/a', 3, 4, 4, 'n/a', 'n/a', 4, 4, 4, 2, 4, 3)(3,)",3.3,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)(1,)",1
nzGgfSNF_KkFVD4IhmwTLw,"(3, 'n/a', 'n/a', 3, 2, 4, 'n/a', 3, 4, 3, 3, 2, 'n/a', 4)",3.1,"(4, 'n/a', 'n/a', 3, 1, 3, 'n/a', 2, 4, 2, 2, 2, 'n/a', 5)",2.8,"(4, 'n/a', 'n/a', 3, 3, 4, 'n/a', 2, 4, 3, 3, 2, 'n/a', 4)",3.2,"(4, 'n/a', 'n/a', 3, 2, 4, 'n/a', 2, 4, 3, 3, 2, 'n/a', 4)",3.1,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)",1,"(4, 'n/a')",4.0,"(3, 'n/a')",3.0,"(3, 'n/a')",3.0,"(3, 'n/a')",3.0,"(1, 'n/a')",1,"(3, 'n/a', 'n/a', 3, 2, 4, 'n/a', 3, 4, 3, 3, 2, 'n/a', 4)(4, 'n/a')",3.55,"(4, 'n/a', 'n/a', 3, 1, 3, 'n/a', 2, 4, 2, 2, 2, 'n/a', 5)(3, 'n/a')",2.9,"(4, 'n/a', 'n/a', 3, 3, 4, 'n/a', 2, 4, 3, 3, 2, 'n/a', 4)(3, 'n/a')",3.1,"(4, 'n/a', 'n/a', 3, 2, 4, 'n/a', 2, 4, 3, 3, 2, 'n/a', 4)(3, 'n/a')",3.05,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 1, 1, 1, 1, 1, 'n/a', 1)(1, 'n/a')",1
Mjy-6tSHypxJcq6kKmc0Dw,"(2, 'n/a', 'n/a', 2, 1, 3, 4, 3, 3, 'n/a', 1, 1, 'n/a', 5)",2.5,"(3, 'n/a', 'n/a', 2, 1, 2, 5, 3, 3, 'n/a', 1, 2, 'n/a', 5)",2.7,"(3, 'n/a', 'n/a', 2, 1, 4, 5, 4, 3, 'n/a', 1, 1, 'n/a', 4)",2.8,"(3, 'n/a', 'n/a', 2, 1, 3, 5, 3, 3, 'n/a', 1, 1, 'n/a', 5)",2.7,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)",1,"(3, 'n/a')",3.0,"(2, 'n/a')",2.0,"(3, 'n/a')",3.0,"(3, 'n/a')",3.0,"(1, 'n/a')",1,"(2, 'n/a', 'n/a', 2, 1, 3, 4, 3, 3, 'n/a', 1, 1, 'n/a', 5)(3, 'n/a')",2.75,"(3, 'n/a', 'n/a', 2, 1, 2, 5, 3, 3, 'n/a', 1, 2, 'n/a', 5)(2, 'n/a')",2.35,"(3, 'n/a', 'n/a', 2, 1, 4, 5, 4, 3, 'n/a', 1, 1, 'n/a', 4)(3, 'n/a')",2.9,"(3, 'n/a', 'n/a', 2, 1, 3, 5, 3, 3, 'n/a', 1, 1, 'n/a', 5)(3, 'n/a')",2.85,"(1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1, 'n/a', 1, 1, 'n/a', 1)(1, 'n/a')",1
mnamRhHKBVZes98EgDpgAw,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 3, 3, 4, 5)",3.2,"(2, 'n/a', 'n/a', 2, 3, 4, 'n/a', 'n/a', 4, 3, 2, 4, 4, 5)",3.3,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 4, 2, 4, 5)",3.2,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 3, 3, 4, 5)",3.2,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)",1,"(4,)",4.0,"(4,)",4.0,"(4,)",4.0,"(4,)",4.0,"(1,)",1,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 3, 3, 4, 5)(4,)",3.6,"(2, 'n/a', 'n/a', 2, 3, 4, 'n/a', 'n/a', 4, 3, 2, 4, 4, 5)(4,)",3.65,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 4, 2, 4, 5)(4,)",3.6,"(3, 'n/a', 'n/a', 2, 2, 4, 'n/a', 'n/a', 4, 2, 3, 3, 4, 5)(4,)",3.6,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)(1,)",1
I5aizd0tdcd3hmzoYzSqLw,"(2, 'n/a', 'n/a', 'n/a', 3, 3, 4, 3, 4, 'n/a', 4, 3, 4, 2)",3.2,"(1, 'n/a', 'n/a', 'n/a', 1, 2, 4, 3, 4, 'n/a', 2, 5, 3, 2)",2.7,"(2, 'n/a', 'n/a', 'n/a', 3, 3, 4, 3, 4, 'n/a', 4, 4, 3, 1)",3.1,"(2, 'n/a', 'n/a', 'n/a', 2, 3, 4, 3, 4, 'n/a', 4, 4, 3, 2)",3.1,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 1, 1, 1, 'n/a', 1, 1, 1, 1)",1,"(4, 'n/a')",4.0,"(5, 'n/a')",5.0,"(4, 'n/a')",4.0,"(4, 'n/a')",4.0,"(1, 'n/a')",1,"(2, 'n/a', 'n/a', 'n/a', 3, 3, 4, 3, 4, 'n/a', 4, 3, 4, 2)(4, 'n/a')",3.6,"(1, 'n/a', 'n/a', 'n/a', 1, 2, 4, 3, 4, 'n/a', 2, 5, 3, 2)(5, 'n/a')",3.85,"(2, 'n/a', 'n/a', 'n/a', 3, 3, 4, 3, 4, 'n/a', 4, 4, 3, 1)(4, 'n/a')",3.55,"(2, 'n/a', 'n/a', 'n/a', 2, 3, 4, 3, 4, 'n/a', 4, 4, 3, 2)(4, 'n/a')",3.55,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 1, 1, 1, 'n/a', 1, 1, 1, 1)(1, 'n/a')",1
UU_aQf1SlPvP9irjhry18w,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 4, 4, 3, 4, 4)",3.8,"(4, 'n/a', 'n/a', 4, 2, 3, 'n/a', 'n/a', 4, 3, 4, 3, 3, 4)",3.4,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 4, 4, 3, 4, 4)",3.8,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 3, 4, 3, 4, 4)",3.7,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)",1,"(4, 'n/a')",4.0,"(5, 'n/a')",5.0,"(5, 'n/a')",5.0,"(5, 'n/a')",5.0,"(1, 'n/a')",1,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 4, 4, 3, 4, 4)(4, 'n/a')",3.9,"(4, 'n/a', 'n/a', 4, 2, 3, 'n/a', 'n/a', 4, 3, 4, 3, 3, 4)(5, 'n/a')",4.2,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 4, 4, 3, 4, 4)(5, 'n/a')",4.4,"(4, 'n/a', 'n/a', 4, 3, 4, 'n/a', 'n/a', 4, 3, 4, 3, 4, 4)(5, 'n/a')",4.35,"(1, 'n/a', 'n/a', 1, 1, 1, 'n/a', 'n/a', 1, 1, 1, 1, 1, 1)(1, 'n/a')",1
6StS6Vab9z0qxepFYW04ZQ,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 3, 4, 2, 2, 4, 4, 5)",3.5,"(3, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 2, 4, 2, 2, 4, 3, 5)",3.1,"(3, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 2, 4, 2, 2, 2, 3, 5)",3.1,"(3, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 2, 4, 2, 2, 3, 3, 5)",3.1,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)",1,"(4, 4)",4.0,"(4, 4)",4.0,"(4, 4)",4.0,"(4, 4)",4.0,"(1, 1)",1,"(4, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 3, 4, 2, 2, 4, 4, 5)(4, 4)",3.75,"(3, 'n/a', 'n/a', 'n/a', 2, 4, 'n/a', 2, 4, 2, 2, 4, 3, 5)(4, 4)",3.55,"(3, 'n/a', 'n/a', 'n/a', 4, 4, 'n/a', 2, 4, 2, 2, 2, 3, 5)(4, 4)",3.55,"(3, 'n/a', 'n/a', 'n/a', 3, 4, 'n/a', 2, 4, 2, 2, 3, 3, 5)(4, 4)",3.55,"(1, 'n/a', 'n/a', 'n/a', 1, 1, 'n/a', 1, 1, 1, 1, 1, 1, 1)(1, 1)",1
